categoryName,ParentCategoryName,catlevel,noItems
Degasser,Chromatograph-Liquid,2,6
Detectors,Chromatograph-Liquid,2,125
FPLC,Chromatograph-Liquid,2,1
Fraction Collector,Chromatograph-Liquid,2,7
Ion,Chromatograph-Liquid,2,2
Low Pressure LC,Chromatograph-Liquid,2,3
Other,Chromatograph-Liquid,2,6
Prep,Chromatograph-Liquid,2,1
Prep-Systems,Chromatograph-Liquid,2,1
Pumps,Chromatograph-Liquid,2,72
Scintillation,Chromatograph-Liquid,2,1
Solvent Recyler,Chromatograph-Liquid,2,4
System,Chromatograph-Liquid,2,16
Valves,Chromatograph-Liquid,2,27
Controllers,,1,10
Graphic Terminal,Controllers,2,5
Heating Mantle,Controllers,2,4
Indexers,Controllers,2,1
Liquid Level,Controllers,2,4
Mass Flow,Controllers,2,10
Powerstats,Controllers,2,29
Pressure,Controllers,2,6
Temperature,Controllers,2,44
Vacuum,Controllers,2,0
Cooling Units,,1,4
Dryers,,1,1
Fluid Bed,Dryers,2,0
Electrochemical Reactor,,1,2
Enviromental Chambers,,1,2
Evaporators,,1,6
Accessories,Evaporators,2,6
Aspirator,Evaporators,2,1
Centrifugal,Evaporators,2,12
Centrifuge,Evaporators,2,3
Kugelrohr,Evaporators,2,1
Misc,Evaporators,2,1
Other Types,Evaporators,2,7
Pumps,Evaporators,2,0
Rotoevaporator,Evaporators,2,12
Rototherm,Evaporators,2,0
Thin film,Evaporators,2,1
Vac Pump/Controller,Evaporators,2,1
Vacuum,Evaporators,2,2
Vapor Traps,Evaporators,2,11
Wipe Film,Evaporators,2,0
Vapor Ducts,Evaporators,2,2
Exposure Systems,,1,0
Ultraviolet,Exposure Systems,2,1
Fermentation,,1,0
Accessories,Fermentation,2,2
Bio Reactor,Fermentation,2,2
Fermenters,Fermentation,2,1
Probes,Fermentation,2,1
Filtration,,1,3
Filters,Filtration,2,15
Manifolds,Filtration,2,0
Pharmaceutical,Filtration,2,2
Plate,Filtration,2,3
Porcelain,Filtration,2,7
Pressure,Filtration,2,1
Supplies,Filtration,2,2
System,Filtration,2,3
