ManufacturerAKAID,Manufacturer,AlsoKnownAs
1285,Thermo,Finnigan
1286,Thermo,Barnstead
1287,Thermo,Thermo ONIX 
1288,Thermo,ATI Unicam
1289,Thermo,Jouan
1290,Thermo,Haake
1291,Thermo ,IEC
1292,Thermo ,Thermo Electron Corporation
1293,Thermo ,Blue M
1294,Thermo ,IEC
1295,Thermo Electron,Fisher Scientific
1296,Thermo Electron,Fisher Scientific
1297,Thermo Electron Corporation,Cahn
1298,Thermo Fisher,Fisons
1299,Thermo Fisher,Finnigan
1300,Thermo Fisher,Barnstead
1301,Thermo Fisher ,Thermo Fisher Scientific Inc.
1302,Thermo Fisher ,Forma
1303,Thermo Fisher ,Hamilton Laboratory Workstations
1304,Thermo Furnace,Blue M
1305,Thermolyne,Barnstead
1306,turner,Barnstead
1307,Tuttnauer,Brinkmann
1308,W.S. TYLER,CE Tyler
1309,W.S. TYLER,CE Tyler
