id,name,level,parent,lineage,isActive,metadesc,metakeywords
2327,Grip Strength ,2,2220,/2220/2327/,1,NULL,NULL
2328,Other,2,2220,/2220/2328/,1,NULL,NULL
2329,Plethysmometer,2,2220,/2220/2329/,1,NULL,NULL
2330,Pulse Generator,2,2220,/2220/2330/,1,NULL,NULL
2331,Accessories,2,2223,/2223/2331/,1,NULL,NULL
2332,Analytical,2,2223,/2223/2332/,1,NULL,NULL
2333,Microbalance,2,2223,/2223/2333/,0,NULL,NULL
2334,Microbalances,2,2223,/2223/2334/,1,NULL,NULL
2335,Moisture,2,2223,/2223/2335/,1,NULL,NULL
2336,Other,2,2223,/2223/2336/,1,NULL,NULL
2337,Platform,2,2223,/2223/2337/,1,NULL,NULL
2338,Printers,2,2223,/2223/2338/,1,NULL,NULL
2339,Safety Hoods,2,2223,/2223/2339/,1,NULL,NULL
2340,Table,2,2223,/2223/2340/,1,NULL,NULL
2341,Top Loading,2,2223,/2223/2341/,1,NULL,NULL
2342,Weights,2,2223,/2223/2342/,0,NULL,NULL
2343,Accessories,2,2224,/2224/2343/,1,NULL,NULL
2344,Bath,2,2224,/2224/2344/,0,NULL,NULL
2345,Heated Baths,2,2224,/2224/2345/,1,NULL,NULL
2346,Fluid Bed,2,2224,/2224/2346/,0,NULL,NULL
2347,Fluidized,2,2224,/2224/2347/,1,NULL,NULL
2348,High Temp,2,2224,/2224/2348/,1,NULL,NULL
2349,Immersion,2,2224,/2224/2349/,1,NULL,NULL
2350,Inmersion,2,2224,/2224/2350/,0,NULL,NULL
2351,Liquid / Liquid,2,2224,/2224/2351/,1,NULL,NULL
2352,Oil,2,2224,/2224/2352/,0,NULL,NULL
2353,Oil Baths,2,2224,/2224/2353/,1,NULL,NULL
2354,Refrigerated,2,2224,/2224/2354/,1,NULL,NULL
2355,Shaking,2,2224,/2224/2355/,1,NULL,NULL
2356,Sterilizer,2,2224,/2224/2356/,1,NULL,NULL
2357,Viscosity,2,2224,/2224/2357/,1,NULL,NULL
2358,Water to Water,2,2224,/2224/2358/,0,NULL,NULL
2359,Air Sampling,2,2225,/2225/2359/,1,NULL,NULL
2360,Analyzer,2,2225,/2225/2360/,1,NULL,NULL
2361,Arrayer,2,2225,/2225/2361/,1,NULL,NULL
2362,Autosamplers,2,2225,/2225/2362/,1,NULL,NULL
2363,Bioreactor,2,2225,/2225/2363/,1,NULL,NULL
2364,Blotting,2,2225,/2225/2364/,1,NULL,NULL
2365,BOD,2,2225,/2225/2365/,1,NULL,NULL
2366,Bottle Roller,2,2225,/2225/2366/,1,NULL,NULL
2367,Calibrator,2,2225,/2225/2367/,1,NULL,NULL
2368,Capillary Phoresis,2,2225,/2225/2368/,1,NULL,NULL
2369,Cell Counter,2,2225,/2225/2369/,1,NULL,NULL
2370,Cell Culture,2,2225,/2225/2370/,1,NULL,NULL
2371,Cell Disrupter,2,2225,/2225/2371/,1,NULL,NULL
2372,Cell Factory,2,2225,/2225/2372/,1,NULL,NULL
2373,Cell Preparation,2,2225,/2225/2373/,1,NULL,NULL
2374,Cell Roller,2,2225,/2225/2374/,1,NULL,NULL
2375,Cell Stirring,2,2225,/2225/2375/,1,NULL,NULL
2376,CHEF,2,2225,/2225/2376/,1,NULL,NULL
2377,Colony Counter,2,2225,/2225/2377/,1,NULL,NULL
2378,Crimper,2,2225,/2225/2378/,1,NULL,NULL
2379,Culture Tubes,2,2225,/2225/2379/,1,NULL,NULL
2380,Densitometer,2,2225,/2225/2380/,1,NULL,NULL
2381,Dispenser,2,2225,/2225/2381/,1,NULL,NULL
2382,Dissolution,2,2225,/2225/2382/,1,NULL,NULL
2383,Dry Block Heaters,2,2225,/2225/2383/,1,NULL,NULL
2384,Electrophoresis/PS,2,2225,/2225/2384/,1,NULL,NULL
2385,Filtration,2,2225,/2225/2385/,1,NULL,NULL
2386,Gel Dryer,2,2225,/2225/2386/,1,NULL,NULL
2387,Gene Pulser,2,2225,/2225/2387/,1,NULL,NULL
2388,General,2,2225,/2225/2388/,1,NULL,NULL
2389,Homogenizers,2,2225,/2225/2389/,1,NULL,NULL
2390,Hybridization,2,2225,/2225/2390/,1,NULL,NULL
2391,Light Box,2,2225,/2225/2391/,1,NULL,NULL
2392,Media Bottles,2,2225,/2225/2392/,1,NULL,NULL
2393,Microassay,2,2225,/2225/2393/,1,NULL,NULL
2394,Microfluidizer,2,2225,/2225/2394/,1,NULL,NULL
2395,Microplate,2,2225,/2225/2395/,1,NULL,NULL
2396,Microtome,2,2225,/2225/2396/,1,NULL,NULL
2397,Mixer,2,2225,/2225/2397/,1,NULL,NULL
2398,Mixing,2,2225,/2225/2398/,1,NULL,NULL
2399,Osmometer,2,2225,/2225/2399/,1,NULL,NULL
2400,Other,2,2225,/2225/2400/,1,NULL,NULL
2401,PCR,2,2225,/2225/2401/,1,NULL,NULL
2402,Perfusion Chromatograph,2,2225,/2225/2402/,1,NULL,NULL
2403,petri rack,2,2225,/2225/2403/,1,NULL,NULL
2404,Phosphor Screen,2,2225,/2225/2404/,1,NULL,NULL
2405,Pipette,2,2225,/2225/2405/,1,NULL,NULL
2406,Power Supply,2,2225,/2225/2406/,1,NULL,NULL
2407,Robotic Automation,2,2225,/2225/2407/,1,NULL,NULL
2408,Rollers,2,2225,/2225/2408/,1,NULL,NULL
2409,Rotator,2,2225,/2225/2409/,1,NULL,NULL
2410,Sequencers,2,2225,/2225/2410/,1,NULL,NULL
2411,Shakers,2,2225,/2225/2411/,1,NULL,NULL
2412,Slide Stainer,2,2225,/2225/2412/,1,NULL,NULL
2413,Slide Warmer,2,2225,/2225/2413/,1,NULL,NULL
2414,Sterilizer,2,2225,/2225/2414/,1,NULL,NULL
2415,Sterilizers,2,2225,/2225/2415/,1,NULL,NULL
2416,Stirrers,2,2225,/2225/2416/,1,NULL,NULL
2417,Stomacher,2,2225,/2225/2417/,1,NULL,NULL
2418,Synthesizer,2,2225,/2225/2418/,1,NULL,NULL
2419,Temp - Cyclers,2,2225,/2225/2419/,1,NULL,NULL
2420,Thermal Cyclers,2,2225,/2225/2420/,1,NULL,NULL
2421,Tissue Bath,2,2225,/2225/2421/,1,NULL,NULL
2422,Tissue Chopper,2,2225,/2225/2422/,1,NULL,NULL
