ID,Manufacturer,Misspelling
1487,Idaho Technology,NULL
1488,IEC,NULL
1489,IKA,NULL
1490,Industrial Heaters ,NULL
1491,Ingold,NULL
1492,Inotech,NULL
1493,Inotech Sterrguard,Inotech Steriguard
1494,Instrument Laboratory,NULL
1495,Integra Bioscience,Inegra Bioscience
1496,Integrated Air Systems,NULL
1497,Integrated Separations Systems,NULL
1498,Isco,Isso
1499,Isco,Iscc
1500,Isco,isso
1501,ISS Enprotech,NULL
1502,ITT Jabsco,NULL
1503,IVEK,NULL
1504,J & W Scientific,NULL
1505,Jasco,Jasko
1506,Jasco,Jazco
1507,Jasco,NULL
1508,JEOL,NULL
1509,J-Kem Scientific,J Kem Scientific
1510,J-Kem Scientific,j Chem scientific 
1511,Jones Chromatography ,NULL
1512,Jordon,Jordan
1513,Jouan,Jouin
1514,Joyce Loebel,NULL
1515,Julabo,jalabo
1516,Julabo,Julobo
1517,K Tron Corporation,NULL
1518,Kalmus,NULL
1519,Kason,NULL
1520,Kaye,NULL
1521,Kayeness,NULL
1522,KD Scientific,NULL
1523,Keithley,kethly
1524,Keithley,keithly
1525,Keithley,keithlee
1526,Kelvinator,Kelvinater
1527,Kelvinator,Celvinator
1528,Kemp,NULL
1529,Kernco Instruments,NULL
1530,Kewaunee,NULL
1531,Kimax,NULL
1532,Kimble Kontes,Kimbal Kontes
1533,Kimble Kontes,cimble contes
1534,Kimble Kontes,Kinble Kontes
1535,Kinematic,NULL
1536,Kinetic Dispersion,NULL
1537,Kipp & Zonen,Kip & Zone
1538,Kipp & Zonen,Kipp & Zonen
1539,Kipp & Zonen,Cipp & Zonen
1540,Klett Summerson,NULL
1541,Knauer,NULL
1542,KNF Neuberger,K&F Neuberger
1543,KNF Neuberger,K and F Newberger
1544,KNF Neuberger,K-F Neuberger
1545,KNF Neuberger,KNF
1546,KNF Neuberger,KNF Newburger
1547,KNF Neuberger,KNF Neuburger
1548,Kodak,NULL
1549,Kokusan Corp,NULL
1550,Koldwave,NULL
1551,Kontes,Contes
1552,Ktron,Ctron
1553,Ktron,Kaytron
1554,Kugelrohr,cugelroar
1555,Kugelrohr,Cugelrohr
1556,KUHL Corporation,NULL
1557,Kulite Semiconductor,NULL
1558,Labconco,Labkonco
1559,Labconco,labkonko
1560,Labconco,lab-conco
1561,Labconco,lab conco
1562,Labconco,lapconco
1563,Lab-Line,Lab  line
1564,Lab-Line,labline
1565,Lab-Line,lapline
1566,Labnet,NULL
1567,Laboratory Devices,NULL
1568,Laboratory Supplies Co.,NULL
1569,LaPine Scientific,NULL
1570,Lauda,Lawda
1571,Lauda,law da
1572,Lavin,NULL
1573,Lavin,NULL
1574,Leco,Leko
1575,Leeds and Northrup,NULL
1576,Leica,lika
1577,Leica JUNG,NULL
1578,Letsch/Precision Stainless Inc,NULL
1579,Lexel,NULL
1580,Leybold,laybold
1581,Liberty,NULL
1582,Life Technologies,NULL
1583,Lightnin,lighting
1584,Lightnin,liteing
1585,Lightnin,litenin
1586,Lightnin,lightnen
1587,Lindberg,linberg
1588,Lindberg,lindburg
1589,Lindberg,lineburg
1590,Lindberg,lidberg
1591,Lindberg Blue M,Linberg/BlueM
1592,Lindberg Blue M,Linberg/Blue M
