ID,itemNo,title,description,adminNotes,manufacturer,model,condition,age,weight,catid,pic,quantity,price,lowestPrice,costOfGoods,totalNumberOfPieces,quantitySold,sellingPrice,auctionStartPrice,location,barcode1,barcode2,hold,new,sold,featured,specials,offTruck,consignment,deleted,date,editDate,dateSold,dateDeleted,videoLink,inclInNewsletter,NumberOfViews,clientIP
56664,6060826,Lindberg Blue M WB 1110A,"<p>   Water Bath, Digital readout, Temp. range amb to 90 C, bath size 12in x 7.5in x 8in deep. 12 liter capacity.</p>  ",NULL,Lindberg Blue M,WB 1110A,Excellent,Recent,NULL,2345,56664.jpg,1,400,250,0,1,0,0,0,Row 9 7-b,NULL,2009,0,0,0,0,0,0,0,0,8/26/2006,3/6/2014,NULL,NULL,NULL,0,NULL,96.245.79.63
56665,6060826,Lindberg Blue M WB 1130A-1,"Water Bath, Digital readout, Temp. range amb to 98 C, Bath internal dimensions 20"" x 18"" x 10"" Deep - unit comes with a lid 120 volts, 21 amps ",NULL,Lindberg Blue M,WB 1130A,Excellent,Recent,NULL,2345,56665.jpg,1,0,0,0,0,0,,0,Row 9 9B,NULL,2005,0,0,0,0,0,0,0,1,8/26/2006,8/28/2009,NULL,8/28/2009,NULL,0,NULL,98.110.127.30
56666,X006060826,Lindberg Blue M WB 1130A,"Water Bath, Digital readout, Temp. range amb to 90 C, bath size  ",NULL,Lindberg Blue M,WB 1130A,Excellent,Recent,NULL,2345,56666.jpg,1,0,0,0,0,0,,0,Row 9 9B,NULL,2005,0,0,0,0,0,0,0,1,8/26/2006,8/28/2009,NULL,8/28/2009,NULL,0,NULL,98.110.127.30
56667,1060827,NULL,Alpine Air Jet Sieve,NULL,Alpine,Air Jet Sieve,Good,Current,NULL,2684,56667.jpg,1,350,0,0,0,0,0,0,Row 15 2A,NULL,1934,0,0,1,0,0,0,0,1,8/26/2006,10/5/2006,10/5/2006,10/5/2006,NULL,NULL,NULL,NULL
56668,2060827,NULL,"Alpine, Air Jet Sieve ",NULL,Alpine,Air Jet Sieve,Good,Current,NULL,2684,56668.jpg,1,400,0,0,0,0,0,0,Row 15 2A,NULL,1933,0,0,1,0,0,0,0,1,8/26/2006,11/6/2006,11/6/2006,11/6/2006,NULL,NULL,NULL,NULL
56669,3060827,Bellco  SciERA,"Bellco  Scie ERA Quad drive System with controller. with a 4 position magnetic stirrer which can handle up to 3 liters, and a 9 position magnetic stirrer that can handle up to 1 liters. ",NULL,Bellco ,SciERA,Good,Recent,NULL,2416,56669.jpg,1,0,0,0,2,0,,0,BRow 2 3-c,NULL,1741,0,0,0,0,0,0,0,0,8/26/2006,9/28/2011,NULL,NULL,NULL,0,NULL,98.110.127.30
56670,4060827,Eagle,"Eagle, Saftety Storage Cabinet for Corrosives material. Inside dimensions: 12""W x 17""H x 16"" FB",NULL,Eagle,NULL,Excellent,Current,NULL,2864,56670.jpg,1,200,0,0,1,0,,0,Row 11 9-c,NULL,2040,0,0,0,0,0,0,0,0,8/26/2006,9/28/2011,NULL,NULL,NULL,0,NULL,98.110.127.30
56671,6060827,Corning,"Corning, Stirrer, Slow Speed, 4 x 1 liter cap.",NULL,Corning,NULL,Good,Current,NULL,2416,56671.jpg,1,275,0,0,0,0,0,0,Row 16 3C,NULL,1606,0,0,0,0,0,0,0,1,8/26/2006,8/22/2010,NULL,11/17/2006,NULL,0,NULL,72.88.210.195
56672,7060827,BSP 1107900,BSP Bead Beater Model 1107900,NULL,BSP,1107900,Excellent,Current,NULL,2717,56672.jpg,1,0,0,0,1,0,,0,Row 16 5-b,NULL,2324,0,0,0,0,0,0,0,0,8/26/2006,9/27/2011,NULL,NULL,NULL,0,NULL,98.110.127.30
56673,1060828,Yokogawa DR240,"Yokogawa, Drawin DR240, Hydrid Recorder Full model number DR 242-12-001w, style 801, sn 7700GF054, MFG  1998 with floppy disk drive!!  suffix /m1/h1/d2  series 801",NULL,Yokogawa,DR240,Good,Current,NULL,2846,56673.jpg,1,1450,0,0,0,1,0,0,Row 14 4C,NULL,1835,0,0,1,0,0,0,0,0,8/26/2006,7/16/2008,7/16/2008,NULL,NULL,0,NULL,NULL
56674,3060828,Yokogawa HR1300,"Yokogawa, Model HR1300, Hydrid Recorder s a high-speed portable hybrid recorder with a recording span of 1500 mm (5-7/8"") with ten color recording. It uses a Yokogawa orginal high breakdown voltage solid state relay, which offers high-speed scanning of 20 points/2 s and high-speed recording of 50 points/ 2 s. It is a lightweight design (approximately 10 kg, 21 lbs) ",NULL,Yokogawa,HR1300,Good,Current,NULL,2846,56674.jpg,1,1300,0,0,1,0,,0,Row 14 4-c,NULL,1836,0,0,0,0,0,0,0,0,8/26/2006,5/27/2011,NULL,NULL,NULL,0,NULL,98.110.127.30
56675,4060828,NULL,"Omega, Model OM 500 Multi-Tred and Data Logger Recorder. Detailed model number 0M 501-C",NULL,Omega,OM500,Good,Current,NULL,2846,56675.jpg,1,850,0,0,0,0,0,0,Row 14 4-C,NULL,NULL,0,0,1,0,0,0,0,1,8/26/2006,12/19/2006,12/19/2006,12/19/2006,NULL,NULL,NULL,NULL
56676,6060828,Carver Platens,"Carver, Platens for M Press, 9 x 9: set of 2",NULL,Carver,Platens,Good,Current,NULL,2766,56676.jpg,1,1300,0,0,0,1,0,0,Row 15 6C,NULL,2016,0,0,1,0,0,0,0,0,8/26/2006,9/9/2009,9/9/2009,NULL,NULL,0,NULL,98.110.127.30
56677,8060828,Forma Scientific Model 4518 Digital,"Forma Scientific, Model 4518 Digital Incubator Shaker - Ask about the holders! Plate Dims - apx 18"" x 18"", Outside Dimensions 20.5"" x 29"" x 24"".  Weight 187 LBS    <a href='http://video.google.com/videoplay?docid=-1584280307272604873&hl=en' target='_video'><font color=blue><b>Video</b> </font>click here- <font color=red><b><em>See your item work!!!</em></b></font></a>  ",NULL,Forma Scientific,4518,Good,Current,NULL,2565,56677.jpg,1,2500,0,0,0,1,0,0,Row 4 9A,NULL,1905,0,0,1,0,0,0,0,0,8/26/2006,6/2/2009,6/2/2009,NULL,http://www.myvideouploads.com/users/1002/myvideo.aspx?VideoID=241,0,NULL,NULL
56678,9060828,Polyscience Shaker Bath,"<p>   Polyscience, Shaker Bath, 28 liter, Dual Action, Circular Motion 1 to12 mm, Reciprocal motion 2 to 12 mm Agitation speed 30 to 180 rpm LED Display, Temp. range: amb.+5 to 100 C.</p>  ",NULL,Polyscience,Shaker Bath,Good,Current,NULL,2355,56678.jpg,1,0,0,0,1,0,,0,Row 8 8-b,NULL,1672,0,0,0,0,0,0,0,0,8/26/2006,4/29/2013,NULL,NULL,NULL,0,NULL,98.110.127.30
56679,10060828,Pierce  18970,"Pierce Reacti Therm, dry block heater/stirring, single block.  110 volts . Temp. range amb. to 150 C. Multi Block included.  3 9mm holes, 3 15mm holes and 3 21mm holes.",NULL,Pierce,18970,Good,Current,NULL,2383,56679.jpg,1,300,0,0,1,1,0,0,Row 16 5D,NULL,2087,0,0,1,0,0,0,0,0,8/26/2006,7/21/2011,7/21/2011,NULL,NULL,0,NULL,98.110.127.30
