id,listingNo,picname,wsm_id,isDeleted,picCount
189,8764,8764-0.JPG,44,NULL,NULL
230,9128,9128-0.JPG,44,NULL,NULL
231,9128,9128-1.JPG,44,NULL,NULL
403,9548,9548-0.JPG,44,NULL,NULL
703,10011,10011-0.JPG,44,NULL,NULL
704,10052,10052-0.JPG,44,NULL,NULL
889,10141,10141-0.JPG,44,NULL,NULL
890,10141,10141-1.JPG,44,NULL,NULL
1469,10602,10602-0.JPG,44,1,NULL
1526,10677,10677-0.JPG,44,NULL,NULL
1527,10714,10714-0.JPG,44,1,NULL
1528,10715,10715-0.JPG,44,NULL,NULL
1529,10715,10715-1.JPG,44,NULL,NULL
1533,10720,10720-0.JPG,44,NULL,NULL
1562,10841,10841-0.JPG,44,NULL,NULL
1563,10860,10860-0.jpg,44,NULL,NULL
1564,10863,10863-0.jpg,44,NULL,NULL
1565,10901,10901-0.jpg,44,NULL,NULL
1566,10918,10918-0.jpg,44,NULL,NULL
1567,10918,10918-1.jpg,44,NULL,NULL
1568,10917,10917-0.jpg,44,NULL,NULL
1569,10917,10917-1.jpg,44,NULL,NULL
1570,10919,10919-0.jpg,44,1,NULL
1592,10927,10927-0.JPG,44,NULL,NULL
1593,10946,10946-0.jpg,44,NULL,NULL
1816,11692,11692-0.jpg,44,NULL,NULL
1817,11692,11692-1.jpg,44,NULL,NULL
1818,11692,11692-2.jpg,44,NULL,NULL
1819,11712,11712-0.jpg,44,1,NULL
1888,11761,11761-0.jpg,44,NULL,NULL
1889,11762,11762-0.jpg,44,NULL,NULL
2658,12922,12922-0.jpg,44,NULL,NULL
2668,12942,12942-0.jpg,44,NULL,NULL
2669,12942,12942-1.jpg,44,NULL,NULL
2670,12941,12941-0.jpg,44,NULL,NULL
2674,12923,12923-0.jpg,44,NULL,NULL
2675,12923,12923-1.jpg,44,NULL,NULL
2676,12994,12994-0.JPG,44,NULL,NULL
2752,13103,13103-0.jpg,44,NULL,NULL
4019,14288,14288-0.JPG,44,NULL,NULL
4020,14290,14290-0.JPG,44,NULL,NULL
4021,14290,14290-1.JPG,44,NULL,NULL
4587,14504,14504-0.JPG,44,NULL,NULL
8417,16012,16012-0.JPG,44,NULL,NULL
8418,16012,16012-1.JPG,44,NULL,NULL
8419,16012,16012-2.JPG,44,NULL,NULL
11242,17959,17959-0.jpg,44,NULL,NULL
11243,15305,15305-0.jpg,44,NULL,NULL
20339,21927,21927-0.jpg,44,NULL,NULL
20667,22057,22057-0.jpg,44,NULL,NULL
